LOINC #,Long Common Name,Short Name,CLASS,Rank
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creat SerPl-mCnc,Chem,1
718-7,Hemoglobin [Mass/volume] in Blood,Hgb Bld-mCnc,HEM/BC,2
2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium SerPl-sCnc,Chem,3
2345-7,Glucose [Mass/volume] in Serum or Plasma,Glucose SerPl-mCnc,Chem,4
2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium SerPl-sCnc,Chem,5
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,BUN SerPl-mCnc,Chem,6
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",CO2 SerPl-sCnc,Chem,7
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride SerPl-sCnc,Chem,8
789-8,Erythrocytes [#/volume] in Blood by Automated count,RBC # Bld Auto,HEM/BC,9
786-4,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count,MCHC RBC Auto-mCnc,HEM/BC,10
785-6,Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count,MCH RBC Qn Auto,HEM/BC,11
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium SerPl-mCnc,Chem,12
2339-0,Glucose [Mass/volume] in Blood,Glucose Bld-mCnc,Chem,13
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Hct VFr Bld Auto,HEM/BC,14
6690-2,Leukocytes[#/volume] in Blood by Automated count ,WBC # Bld Auto,HEM/BC,15
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT SerPl-cCnc,Chem,16
787-2,Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,MCV RBC Auto,HEM/BC,17
777-3,Platelets [#/volume] in Blood by Automated count,Platelet # Bld Auto,HEM/BC,18
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST SerPl-cCnc,Chem,19
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin SerPl-mCnc,Chem,20
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirub SerPl-mCnc,Chem,21
2885-2,Protein [Mass/volume] in Serum or Plasma,Prot SerPl-mCnc,Chem,22
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,ALP SerPl-cCnc,Chem,23
788-0,Erythrocyte distribution width [Ratio] by Automated count,RDW RBC Auto-Rto,HEM/BC,24
770-8,Neutrophils/100 leukocytes in Blood by Automated count,Neutrophils/leuk NFr Bld Auto,HEM/BC,25
33914-3,Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD),GFR/BSA.pred SerPl MDRD-ArVRat,Chem,26
704-7,Basophils [#/volume] in Blood by Automated count,Basophils # Bld Auto,HEM/BC,27
20570-8,Hematocrit [Volume Fraction] of Blood,Hct VFr Bld,HEM/BC,28
48642-3,Glomerular filtration rate/1.73 sq M predicted among non-blacks by Creatinine-based formula (MDRD),GFR/BSA pred.non black SerPl MDRD-ArVRat,Chem,29
48643-1,Glomerular filtration rate/1.73 sq M predicted among blacks by Creatinine-based formula (MDRD),GFR/BSA pred.black SerPl MDRD-ArVRat,Chem,30
26515-7,Platelets [#/volume] in Blood,Platelet # Bld,HEM/BC,31
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholest SerPl-mCnc,Chem,32
26464-8,Leukocytes [#/volume] in Blood,WBC # Bld,HEM/BC,33
30428-7,Erythrocyte mean corpuscular volume [Entitic volume],MCV RBC,HEM/BC,34
731-0,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes # Bld Auto,HEM/BC,35
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Trigl SerPl-mCnc,Chem,36
10466-1,Anion gap 3 in Serum or Plasma,Anion Gap3 SerPl-sCnc,Chem,37
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,HDLc SerPl-mCnc,Chem,38
6463-4,Bacteria identified in Unspecified specimen by Culture,Bacteria XXX Cult,MICRO,39
26485-3,Monocytes/100 leukocytes in Blood,Monocytes/leuk NFr Bld,HEM/BC,40
736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lymphocytes/leuk NFr Bld Auto,HEM/BC,41
706-2,Basophils/100 leukocytes in Blood by Automated count,Basophils/leuk NFr Bld Auto,HEM/BC,42
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Eosinophil/leuk NFr Bld Auto,HEM/BC,43
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Monocytes/leuk NFr Bld Auto,HEM/BC,44
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/leuk NFr Bld,HEM/BC,45
751-8,Neutrophils [#/volume] in Blood by Automated count,Neutrophils # Bld Auto,HEM/BC,46
5902-2,Prothrombin time (PT) in Platelet poor plasma by Coagulation assay,Prothrombin time,COAG,47
5902-2,Prothrombin time (PT),Prothrombin time,COAG,47
33069-6,Fetal Neck.soft tissue Translucency width US,Fet Width.translucency US.meas,OB.US,48
26450-7,Eosinophils/100 leukocytes in Blood,Eosinophil/leuk NFr Bld,HEM/BC,49
711-2,Eosinophils [#/volume] in Blood by Automated count,Eosinophil # Bld Auto,HEM/BC,50
22637-3,Pathology report final diagnosis,Path report.final Dx Spec,TUMRRGT,51
742-7,Monocytes [#/volume] in Blood by Automated count,Monocytes # Bld Auto,HEM/BC,52
6301-6,INR in Platelet poor plasma by Coagulation assay,INR PPP,COAG,53
30180-4,Basophils/100 leukocytes in Blood,Basophils/leuk NFr Bld,HEM/BC,54
3097-3,Urea nitrogen/Creatinine [Mass ratio] in Serum or Plasma,BUN/Creat SerPl,Chem,55
5802-4,Nitrite [Presence] in Urine by Test strip,Nitrite Ur Ql Strip,UA,56
