n,perc50,concept_name.x.x,concept_code.y,concept_name.y,vocabulary_id.x,concept_code.x,concept_id,unit_concept_id,mean_ratio,perc03,perc25,perc75,perc97,concept_name.x.y,QualUnitCnt,allQualUnitsMedians,max_mean_ratio
7,1,Body weight,kg,kilogram,LOINC,29463-7,3025315,9529,0.8091523528001509,0.33203763075747683,0.666014419448408,1,1,Body weight,1,1,0.8091523528001509
5,0.6909447573245586,Free/Total PSA serum/plasme,%,percent,LOINC,12841-3,3001784,8554,0.6919417221999877,0.46084926972570395,0.46084927,0.84706531398708,0.9816478376784495,Free/Total PSA serum/plasme,1,0.69,0.6919417221999877
5,0.88904845722286,Chloride serum/plasma,mmol/L,millimole per liter,LOINC,2075-0,3014576,8753,0.8712516948694327,0.703552700270909,0.774355112780673,0.998959073505871,0.9998733332207046,Chloride serum/plasma,1,0.89,0.8712516948694327
5,0.6615487381251264,Neutrophils %,%,percent,LOINC,26511-6,3018010,8554,0.6344269038504758,0.17737813787763146,0.387428714779441,0.974422188956791,0.9969306626748149,Neutrophils %,1,0.66,0.6344269038504758
5,0.886310562852478,Sodium serum/plasma,mmol/L,millimole per liter,LOINC,2951-2,3019550,8753,0.8692242170278495,0.7042087415859216,0.7648958008249057,0.998987165953985,0.9998734632744782,Sodium serum/plasma,1,0.89,0.8692242170278495
5,0.999999144,Triglyceride [Mass/volume] in Serum or Plasma,mg/dL,milligram per deciliter,LOINC,2571-8,3022192,8840,0.8175772577969145,0.24823449557346508,0.93303545402747,0.999999144263729,0.9999998973116475,Triglyceride [Mass/volume] in Serum or Plasma,1,1,0.8175772577969145
5,0.883820894344054,Potassium serum/plasma,mmol/L,millimole per liter,LOINC,2823-3,3023103,8753,0.8638389790579999,0.7004460750925775,0.741549250226375,0.998987120054329,0.9998754043265194,Potassium serum/plasma,1,0.88,0.8638389790579999
5,1,Body mass index,kg/m2,kilogram per square meter,LOINC,39156-5,3038553,9531,1,1,1,1,1,Body mass index,1,1,1
5,1,Systolic blood pressure,mm[Hg],millimeter mercury column,SNOMED,271649006,4152194,8876,0.8775428412615238,0.6938571030369143,0.693857103307619,1,1,Systolic blood pressure,1,1,0.8775428412615238
4,0.8729781186524681,Sodium [Moles/volume] in Blood,mmol/L,millimole per liter,LOINC,2947-0,3000285,8753,0.7851011739697793,0.4364735249612555,0.7446573451331351,0.9134219474891124,0.9896106336986935,Sodium [Moles/volume] in Blood,1,0.87,0.7851011739697793
4,0.9275915062782769,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,ng/mL,nanogram per milliliter,LOINC,2039-6,3003785,8842,0.7215523692623437,0.10967214488147844,0.68628823906496506,0.9628556364756555,0.9955284089370787,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,1,0.93,0.7215523692623437
4,0.8747306623163675,Potassium [Moles/volume] in Blood,mmol/L,millimole per liter,LOINC,6298-4,3005456,8753,0.7279426804785566,0.22529982042651375,0.6872295901566801,0.915443752638244,0.9898532503165893,Potassium [Moles/volume] in Blood,1,0.87,0.7279426804785566
4,0.9288481261810116,Alanine aminotransferase serum/plasma,[U]/L,unit per liter,LOINC,1742-6,3006923,8645,0.7535639544265401,0.21968437552347742,0.6825996501719719,0.99981243043558,0.9999774916522696,Alanine aminotransferase serum/plasma,1,0.93,0.7535639544265401
4,1,Cholesterol in HDL [Mass/volume] in Serum or Plasma,mg/dL,milligram per deciliter,LOINC,2085-9,3007070,8840,0.9896410833573918,0.962293543420906,0.9896410833573918,1,1,Cholesterol in HDL [Mass/volume] in Serum or Plasma,1,1,0.9896410833573918
4,0.9169519165787716,Aspartate aminotransferase serum/plasma,[U]/L,unit per liter,LOINC,1920-8,3013721,8645,0.747573337208316,0.2174597881896118,0.6653084532914797,0.9992168004956079,0.9999060160594729,Aspartate aminotransferase serum/plasma,1,0.92,0.747573337208316
4,0.886804098999221,Erythrocyte sedimentation rate,mm/h,millimeter per hour,LOINC,30341-2,3015183,8752,0.7114409250444909,0.13528624480322432,0.5982450240437118,1,1,Erythrocyte sedimentation rate,1,0.89,0.7114409250444909
4,0.8485577635949881,Carbon dioxide serum/plasma,mmol/L,millimole per liter,LOINC,2028-9,3015632,8753,0.8667664021477971,0.7758662357465228,0.7906393204568223,0.924684845285963,0.9875287357756782,Carbon dioxide serum/plasma,1,0.85,0.8667664021477971
