"package","version"
"R","3.4.0"
"grDevices","3.4.0"
"graphics","3.4.0"
"utils","3.4.0"
"stats","3.4.0"
"methods","3.4.0"
"tools","3.4.0"
"bit","1.1-12"
"colorspace","1.3-2"
"grid","3.4.0"
"magrittr","1.5"
"R.methodsS3","1.7.1"
"Rcpp","0.12.15"
"stringi","1.1.5"
"curl","2.6"
"dichromat","2.0-0"
"digest","0.6.12"
"fastmatch","1.1-0"
"ff","2.2-13"
"jsonlite","1.5"
"labeling","0.3"
"lattice","0.20-35"
"mime","0.5"
"munsell","0.4.3"
"openssl","0.9.6"
"plyr","1.8.4"
"R.oo","1.21.0"
"R6","2.2.2"
"RColorBrewer","1.1-2"
"rJava","0.9-9"
"rlang","0.1.2.9000"
"stringr","1.2.0"
"ffbase","0.12.3"
"git2r","0.19.0"
"gtable","0.2.0"
"httr","1.3.1"
"lazyeval","0.2.0"
"MASS","7.3-47"
"Matrix","1.2-9"
"memoise","1.1.0"
"R.utils","2.5.0"
"reshape2","1.4.2"
"rstudioapi","0.7"
"scales","0.4.1"
"splines","3.4.0"
"SqlRender","1.4.8"
"tibble","1.3.4"
"whisker","0.3-2"
"withr","2.1.0"
"backports","1.0.5"
"bitops","1.0-6"
"codetools","0.2-15"
"DatabaseConnector","2.0.3"
"DBI","0.6-1"
"devtools","1.13.4"
"evaluate","0.10.1"
"formatR","1.5"
"ggplot2","2.2.1"
"highr","0.6"
"mailR","0.4.1"
"markdown","0.8"
"RcppParallel","4.3.20"
"RJSONIO","1.3-0"
"snow","0.4-2"
"survival","2.41-3"
"XML","3.98-1.9"
"yaml","2.1.14"
"base64enc","0.1-3"
"caTools","1.17.1"
"Cyclops","1.3.0"
"FeatureExtraction","2.0.2"
"gridExtra","2.3"
"htmltools","0.3.6"
"knitr","1.15.1"
"OhdsiRTools","1.5.0"
"pROC","1.10.0"
"RJDBC","0.2-5"
"rprojroot","1.2"
"CohortMethod","2.5.1"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.2.1"
"rmarkdown","1.6"
"DenosumabBoneMetastases","0.0.1"
