targetId,targetName,comparatorId,comparatorName,outcomeIds,OutcomeNames,excludedCovariateConceptIds
1,Denosumab (PC),2,Zoledronic Acid (PC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
3,Denosumab (BC),4,Zoledronic Acid (BC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
5,Denosumab (Other),6,Zoledronic Acid (Other),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
7,Denosumab (PC),8,Zoledronic Acid (PC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
9,Denosumab (PC),10,Zoledronic Acid (PC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
11,Denosumab (PC),12,Zoledronic Acid (PC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
13,Denosumab (PC),14,Zoledronic Acid (PC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
15,Denosumab (BC),16,Zoledronic Acid (BC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
17,Denosumab (BC),18,Zoledronic Acid (BC),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
19,Denosumab (Other),20,Zoledronic Acid (Other),21;26,SkeletalEvents;Death,1524674;967823;21600884;21601153;21601194;21601195;40222444;21601136
