"targetId","targetName","comparatorId","comparatorName","outcomeId","outcomeName","type"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",195562,"Hemorrhoids","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",195562,"Hemorrhoids","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",195562,"Hemorrhoids","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",195562,"Hemorrhoids","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",195562,"Hemorrhoids","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",195562,"Hemorrhoids","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",195562,"Hemorrhoids","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",195562,"Hemorrhoids","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",195562,"Hemorrhoids","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",195562,"Hemorrhoids","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",318736,"Migraine","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",318736,"Migraine","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",318736,"Migraine","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",318736,"Migraine","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",318736,"Migraine","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",318736,"Migraine","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",318736,"Migraine","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",318736,"Migraine","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",318736,"Migraine","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",318736,"Migraine","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",4090425,"Altered sensation of skin","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",4090425,"Altered sensation of skin","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",4090425,"Altered sensation of skin","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",4090425,"Altered sensation of skin","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",4090425,"Altered sensation of skin","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",4090425,"Altered sensation of skin","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",4090425,"Altered sensation of skin","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",4090425,"Altered sensation of skin","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",4090425,"Altered sensation of skin","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",4090425,"Altered sensation of skin","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",313459,"Sleep apnea","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",313459,"Sleep apnea","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",313459,"Sleep apnea","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",313459,"Sleep apnea","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",313459,"Sleep apnea","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",313459,"Sleep apnea","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",313459,"Sleep apnea","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",313459,"Sleep apnea","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",313459,"Sleep apnea","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",313459,"Sleep apnea","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",136661,"Non-toxic nodular goiter","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",136661,"Non-toxic nodular goiter","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",136661,"Non-toxic nodular goiter","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",136661,"Non-toxic nodular goiter","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",136661,"Non-toxic nodular goiter","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",136661,"Non-toxic nodular goiter","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",136661,"Non-toxic nodular goiter","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",136661,"Non-toxic nodular goiter","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",136661,"Non-toxic nodular goiter","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",136661,"Non-toxic nodular goiter","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",197672,"Urinary incontinence","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",197672,"Urinary incontinence","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",197672,"Urinary incontinence","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",197672,"Urinary incontinence","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",197672,"Urinary incontinence","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",197672,"Urinary incontinence","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",197672,"Urinary incontinence","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",197672,"Urinary incontinence","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",197672,"Urinary incontinence","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",197672,"Urinary incontinence","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",4209423,"Nicotine dependence","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",4209423,"Nicotine dependence","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",4209423,"Nicotine dependence","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",4209423,"Nicotine dependence","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",4209423,"Nicotine dependence","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",4209423,"Nicotine dependence","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",4209423,"Nicotine dependence","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",4209423,"Nicotine dependence","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",4209423,"Nicotine dependence","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",4209423,"Nicotine dependence","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",437390,"Hypoxemia","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",437390,"Hypoxemia","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",437390,"Hypoxemia","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",437390,"Hypoxemia","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",437390,"Hypoxemia","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",437390,"Hypoxemia","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",437390,"Hypoxemia","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",437390,"Hypoxemia","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",437390,"Hypoxemia","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",437390,"Hypoxemia","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",380094,"Carpal tunnel syndrome","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",380094,"Carpal tunnel syndrome","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",380094,"Carpal tunnel syndrome","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",380094,"Carpal tunnel syndrome","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",380094,"Carpal tunnel syndrome","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",380094,"Carpal tunnel syndrome","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",380094,"Carpal tunnel syndrome","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",380094,"Carpal tunnel syndrome","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",380094,"Carpal tunnel syndrome","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",380094,"Carpal tunnel syndrome","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",377575,"Tinnitus","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",377575,"Tinnitus","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",377575,"Tinnitus","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",377575,"Tinnitus","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",377575,"Tinnitus","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",377575,"Tinnitus","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",377575,"Tinnitus","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",377575,"Tinnitus","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",377575,"Tinnitus","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",377575,"Tinnitus","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",253796,"Pneumothorax","Outcome"
3,"Denosumab (BC)",4,"Zoledronic Acid (BC)",253796,"Pneumothorax","Outcome"
5,"Denosumab (Other)",6,"Zoledronic Acid (Other)",253796,"Pneumothorax","Outcome"
7,"Denosumab (PC)",8,"Zoledronic Acid (PC)",253796,"Pneumothorax","Outcome"
9,"Denosumab (PC)",10,"Zoledronic Acid (PC)",253796,"Pneumothorax","Outcome"
11,"Denosumab (PC)",12,"Zoledronic Acid (PC)",253796,"Pneumothorax","Outcome"
13,"Denosumab (PC)",14,"Zoledronic Acid (PC)",253796,"Pneumothorax","Outcome"
15,"Denosumab (BC)",16,"Zoledronic Acid (BC)",253796,"Pneumothorax","Outcome"
17,"Denosumab (BC)",18,"Zoledronic Acid (BC)",253796,"Pneumothorax","Outcome"
19,"Denosumab (Other)",20,"Zoledronic Acid (Other)",253796,"Pneumothorax","Outcome"
1,"Denosumab (PC)",2,"Zoledronic Acid (PC)",4214376,"Hyperglycemia","Outcome"
