EVENT_CONCEPT_ID	DRUG_CONCEPT_NAME	POSSIBLE_LABEL_USE	ICD9	INDICATION_DESCRIPTION	CONDITION_CONCEPT_ID	CONDITION_CONCEPT_NAME
40165636	pitavastatin	1	272.4	Other and unspecified hyperlipidemia	44827629	Other and unspecified hyperlipidemia
40226579	fingolimod	0	340	Multiple sclerosis	44819583	Multiple sclerosis
19086622	dapiprazole	0	379.43	Mydriasis (persistent); not due to mydriatics	44819671	Mydriasis (persistent), not due to mydriatics
19086622	dapiprazole	0	95.09	EYE EXAMINATION NOS	NA	NA
1102527	Meperidine	0	780.60	Fever; unspecified	44824617	Fever, unspecified
1102527	Meperidine	1	780.96	Generalized pain	44828147	Generalized pain
1102527	Meperidine	0	784.0	Headache	44836293	Headache
968426	mesalamine	1	556	Ulcerative colitis	44829046	Ulcerative colitis
968426	mesalamine	1	556.8	Other ulcerative colitis	44830158	Other ulcerative colitis
968426	mesalamine	1	556.9	Ulcerative colitis; unspecified	44833647	Ulcerative colitis, unspecified
968426	mesalamine	1	558.9	Other and unspecified noninfectious gastroenteritis and colitis	44834815	Other and unspecified noninfectious gastroenteritis and colitis
968426	mesalamine	1	569.49	Other specified disorders of rectum and anus	44819801	Other specified disorders of rectum and anus
968426	mesalamine	1	707.9	Chronic ulcer of unspecified site	44828017	Chronic ulcer of unspecified site
968426	mesalamine	1	780.96	Generalized pain	44828147	Generalized pain
1309068	Minoxidil	0	401.0	Malignant essential hypertension	44823109	Malignant essential hypertension
1309068	Minoxidil	1	401.9	Hypertension NOS	44821949	Unspecified essential hypertension
1309068	Minoxidil	1	704.0	Alopecia	44832610	Alopecia
1309068	Minoxidil	1	704.00	Alopecia NOS	44833796	Alopecia, unspecified
1309068	Minoxidil	1	704.09	Other alopecia	44830305	Other alopecia
1309068	Minoxidil	1	997.91	Hypertension	44830637	Complications affecting other specified body systems, not elsewhere classified, hypertension
1125765	Oxymorphone	1	300.00	Anxiety state unspecified	44832239	Anxiety state, unspecified
1125765	Oxymorphone	1	514	Pulmonary congestion and hypostasis	44825477	Pulmonary congestion and hypostasis
1125765	Oxymorphone	1	780.96	Generalized pain	44828147	Generalized pain
1125765	Oxymorphone	1	786.00	Respiratory abnormality; unspecified	44825806	Respiratory abnormality, unspecified
1125765	Oxymorphone	1	786.05	Shortness of breath	44824625	Shortness of breath
1125765	Oxymorphone	1	786.09	Other dyspnea and respiratory abnormality	44824626	Other respiratory abnormalities
1300751	Polysaccharide iron complex	0	280	Iron deficiency anemias	44821803	Iron deficiency anemias
1300751	Polysaccharide iron complex	0	280.9	Iron deficiency anemia; unspecified	44828816	Iron deficiency anemia, unspecified
722424	Interferon beta-1a	1	340	Multiple sclerosis	44819583	Multiple sclerosis
19009961	metocurine	0	037	Tetanus	44830916	Tetanus
19009961	metocurine	0	041.84	Other anaerobe infection in conditions classified elsewhere and of unspecified site	44821671	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes
1189490	dichloralphenazone	0	346	Migraine	44829973	Migraine
1189490	dichloralphenazone	0	346.9	Migraine; unspecified	44819592	Migraine, unspecified
1189490	dichloralphenazone	0	346.90	Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus	44825342	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus
19007490	Metyrapone	0	255.0	Cushing's syndrome	44819506	Cushing's syndrome
923829	Opium	0	555.9	Regional enteritis of unspecified site	44822028	Regional enteritis of unspecified site
923829	Opium	0	780.96	Generalized pain	44828147	Generalized pain
923829	Opium	0	787.7	Abnormal feces	44830446	Abnormal feces
923829	Opium	0	787.91	Diarrhea	44824628	Diarrhea
992308	dyclonine	1	780.96	Generalized pain	44828147	Generalized pain
992308	dyclonine	0	784.0	Headache	44836293	Headache
