rxnorm_ingredient_concept_id	rxnorm_ingredient_concept_name	atc5_concept_name	atc3_concept_name	atc1_concept_name
42478661	Yeast cell extract			
42478662	Yeast plasmolysate			
42478663	Dried yeast			
43125868	Butoforme			
43125869	Chilli Jamaica oil			
43125870	Cinchonidine			
43125871	Sticta Pulmonaria for homeopathic preparations			
43125872	Glonoinum for homeopathic preparations			
43125873	Cinnabaris for homeopathic preparations			
43125874	Staphysagria for homeopathic preparations			
43125875	Spiny broom extract			
43125876	Coffea Tosta for homeopathic preparations			
43125877	Chamomilla Vulgaris for homeopathic preparations			
43125878	Rizolipase			
43125879	Human Coagulation Factor XI			
43125880	Dodeclonium Bromide			
43125881	Magnesia Bromata for homeopathic preparations			
43125882	Sterculia Gum			
43125883	Scrofularia Nodosa for homeopathic preparations			
43125884	Bovista Gigantea for homeopathic preparations			
43125885	Oscillococcinum for homeopathic preparations			
43125886	Wrack Thallus extract			
43125887	Krypton [81m Kr]			
43125888	Alfa Sebelipase			
43125889	Human plasminogen			
43125890	Arum Dracunculus for homeopathic preparations			
43125891	Sarcolacticum Acidum for homeopathic preparations			
43125892	Influenza Fragmented, Inactivated, strain A / Texas / 50/2012 H3N2 - Derived Strain Used NYMC X-223a			
43125893	Aethiops Mercurialis Mineralis for homeopathic preparations			
43125894	Badiaga for homeopathic preparations			
43125895	Neisseria meningitidis Recombinant Fusion Protein Fhbp Group B			
43125896	N, N'-ethylene- L, L -Dicysteine			
43125897	Abies Canadensis for homeopathic preparations			
43125898	Ruscosides			
43125899	Iobenguane 131i			
43125900	Harpagophytum for homeopathic preparations			
43125901	Sulfogaiacol			
43125902	Bufo Rana for homeopathic preparations			
43125903	Cochlearia Armoracia for homeopathic preparations			
43125904	Azurite for homeopathic preparations			
43125905	Polistes wasp venom			
43125906	N-Acetyl L-aspartyl L-glutamate sodium			
43125907	Sabadilla for homeopathic preparations			
43125908	Agaricus muscarius for homeopathic preparations			
43125909	Angelica sylvestris for homeopathic preparations			
43125910	Cineraria Maritima for homeopathic preparations			
43125911	Zinc dibutyldithiocarbamate			
43125912	Chili Pepper Soft Extract			
43125913	Rhododendron ferrugineum for homeopathic preparations			
43125914	Rutaceae Aurantiees extract			
43125915	Cyclamen Europaeum for homeopathic preparations			
43125916	Nux moschata for homeopathic preparations			
43125917	Rhamnus Frangula for homeopathic preparations			
43125918	Alfa corifollitropin			
43125919	Sacubitril Valsartan hemipentahydrate Complex			
43125920	Kidron for homeopathic preparations			
43125921	Inosiplex			
43125922	Baryta Carbonica for homeopathic preparations			
43125923	Woodruff Fragrant for homeopathic preparations			
43125924	Cina for homeopathic preparations			
43125925	Ataluren			
43125926	Succinimide			
43125927	Influenza Virus Surface Antigen, Inactivated, Strain B / Phuket / 3073/2013 & ndash; Analogue strain B / Utah / 9/2014, Wild Type			
43125928	Aurothiopropanolsulfonate sodium			
43125929	Bugrane extract			
43125930	Oak Foam			
43125931	Sulprostone			
43125932	Green mate extract			
43125933	Chininum Sulfuricum for homeopathic preparations			
43125934	Influenza Virus Fragmented, Inactivated, Strain B / Phuket / 3073/2013			
43125935	Cyclovalone			
43125936	paraformaldehyde			
43125937	Picloxydine			
43125949	cinnamaldehyde			
43125950	Climbing ivy extract			
43125938	Lythrum salicaria non-volatile extract			
43125939	Yellow Willow Leaf for homeopathic preparations			
43125940	Antigens Surface Of Virus Influenza, strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / Switzerland / 9715293/2013, Nib-88			
43125941	Ichtyolammonium			
43125942	Rhapontic root extract			
43125943	Oxomemazine			
43125944	Ibacitabine			
43125945	Depallethrine			
43125946	Berberis aquifolium for homeopathic preparations			
43125947	Monmectite			
43125948	Gnaphalium polycephalum for homeopathic preparations			
43125951	Baryta Muriatica for homeopathic preparations			
43125952	L-Arginine L-aspartate			
43125953	Ammonium Muriaticum for homeopathic preparations			
43125954	Cactus Grandiflorus for homeopathic preparations			
43125955	Phytolacca decandra for homeopathic preparations			
43125956	Neisseria meningitidis Group B Membrane vesicles External Omv			
43125957	sodium sulforutoside			
43125958	Avizafone hydrochloride			
43125959	Zincum Isovalerianicum for homeopathic preparations			
43125960	Phytate sodium anhydrous			
43125961	Picricum Acidum for homeopathic preparations			
43125962	Vipera Aspis Venom equine immunoglobulin			
43125963	Fumagillin			
43125964	Fungal polyenzyme			
43125965	Alimemazine			
43125966	Influenza Virus Surface Antigens, strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain Nib-88			
43125967	Erigeron Canadensis for homeopathic preparations			
43125968	Fludeoxyglucose [18f]			
43125969	Dihydrochloride picloxydine			
43125970	Mitoguazone dihydrochloride monohydrate			
43125971	Hydroxyethyl salicylate			
43125972	Benzyl parahydroxybenzoate			
43125973	Fern Leaf for homeopathic preparations			
43125974	Fotemustine			
43125975	Fampiridine			
43125976	Pix Liquida for homeopathic preparations			
43125977	Dosulepin hydrochloride			
43125978	Growth medium			
43125979	Apium graveolens for homeopathic preparations			
43125980	Methesculethol sodium			
43125981	Wrack Vesiculosus for homeopathic preparations			
43125982	Calcium glucoheptonate			
43125983	Alfa eptotermin			
43125984	Epoxy resin			
43125985	Mecetronium etilsulfate			
43125986	Dapabutan			
43125987	Cethexonium bromide			
43125988	Coffea Cruda for homeopathic preparations			
43125989	Tiliquinol			
43125990	Fibronectin			
43125991	Garrus alcoholate			
43125992	Artenimol			
43125993	Arundo Donax for homeopathic preparations			
43125994	Influenzinum for homeopathic preparations			
43125995	Allium Ursinum for homeopathic preparations			
43125996	Asparagus officinalis for homeopathic preparations			
43125997	Sulesomab			
43125998	Goat's rue extract			
43125999	6-Fluoro [18f] -L-dihydroxyphenylalanine			
43126000	Apium graveolens root extract			
43126001	Chinosol			
43126002	Asclepias Vincetoxicum for homeopathic preparations			
43126003	Eseridine salicylate			
43126004	Lavandula Vera for homeopathic preparations			
43126005	Coal Plant Officinal extract			
43126006	Caladium seguinum for homeopathic preparations			
43126007	Propericiazine			
43126008	Lappa Major for homeopathic preparations			
43126009	Leptandra Virginica for homeopathic preparations			
43126010	Buxus sempervirens for homeopathic preparations			
43126011	Orange flower water			
43126012	Methylsiloxane			
