n,perc50,concept_name.x.x,concept_code.y,concept_name.y,vocabulary_id.x,concept_code.x,concept_id,unit_concept_id,mean_ratio,perc03,perc25,perc75,perc97,concept_name.x.y,QualUnitCnt,allQualUnitsMedians,max_mean_ratio
6,0.9999969549989445,Body height,cm,centimeter,LOINC,8302-2,3036277,8582,0.7153770723075636,0.14613426187036904,0.35959917399947217,1,1,Body height,3,"1,1,1",1
5,0.905068621441899,Hemoglobin,g/dL,gram per deciliter,LOINC,718-7,3000963,8713,0.6332379558404369,0.054773305038693654,0.2320586531555261,0.9984644743092701,0.9998157369171125,Hemoglobin,2,"0.91,0.98",0.983802868491942
5,0.9590015768624284,Thyroglobulin [Mass/volume] in Serum or Plasma,ng/mL,nanogram per milliliter,LOINC,3013-0,3036535,8842,0.7905976780774864,0.1463298846744676,0.958392777930968,1,1,Thyroglobulin [Mass/volume] in Serum or Plasma,2,"0.96,0.49",0.7905976780774864
5,1,Diastolic blood pressure,mm[Hg],millimeter mercury column,SNOMED,271650006,4154790,8876,0.8670781715004546,0.6676954285620003,0.667695429,1,1,Diastolic blood pressure,2,"1,0.06",0.8670781715004546
4,0.9380600812947071,Ferritin [Mass/volume] in Serum or Plasma,ng/mL,nanogram per milliliter,LOINC,2276-4,3001122,8842,0.8825396285493937,0.7082031493064296,0.8702005213110848,0.950399188533016,0.9658225652900438,Ferritin [Mass/volume] in Serum or Plasma,2,"0.94,0.31",0.8825396285493937
4,0.9050128332734039,Magnesium [Mass/volume] in Serum or Plasma,mg/dL,milligram per deciliter,LOINC,19123-9,3001420,8840,0.7635400403894793,0.30222685290946305,0.7041400269121916,0.9644128467506915,0.9928378475398592,Magnesium [Mass/volume] in Serum or Plasma,2,"0.91,0.49",0.7635400403894793
4,0.5702463221248647,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count,g/dL,gram per deciliter,LOINC,786-4,3009744,8713,0.5268711495812135,0.06606930425817992,0.1904146811181457,0.9067027905879326,0.9165377119326593,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count,2,"0.57,0.04",0.5268711495812135
4,0.96399582084544,Troponin T.cardiac [Mass/volume] in Serum or Plasma,ng/mL,nanogram per milliliter,LOINC,6598-7,3019800,8842,0.7691823809889168,0.22035695914524556,0.7455635229352743,0.9876146788990825,0.99851376146789,Troponin T.cardiac [Mass/volume] in Serum or Plasma,2,"0.96,0.14",0.7691823809889168
4,0.9746689476160764,C reactive protein [Mass/volume] in Serum or Plasma,mg/L,milligram per liter,LOINC,1988-5,3020460,8751,0.9147127436738977,0.7314231083678369,0.892096653666761,0.997285037623213,0.9996742045147855,C reactive protein [Mass/volume] in Serum or Plasma,2,"0.97,0.18",0.9147127436738977
4,0.995350170784612,Carbamazepine serum/plasma,ug/mL,microgram per milliliter,LOINC,3432-2,3028639,8859,0.8922113872098305,0.6152751693570193,0.8875615579944424,1,1,Carbamazepine serum/plasma,2,"1,0.39",0.8922113872098305
