measure_id,stratum_1,stratum_2,stratum_3,value,measure_name,distribution,cost,distributed_field,analysis_name,stratum_1_name,stratum_2_name,stratum_3_name,stratum_4_name,stratum_5_name
0,NA,1.6,2018-09-17,1,Source name,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8507,NA,NA,0.45,Number of persons by gender,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8532,NA,NA,0.55,Number of persons by gender,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4218674,NA,NA,0.11,Number of persons by race,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8527,NA,NA,0.74,Number of persons by race,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,,,<10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achilles:byAnalysis:RowCnt,0,NA,NA,1,NA,-1,0,,Source name,,,,,NA
Achilles:byAnalysis:RowCnt,1,NA,NA,1,NA,0,0,,Number of persons,,,,,NA
Achilles:byAnalysis:RowCnt,101,NA,NA,4,NA,0,0,,"Number of persons by age, with age at first observation period",age,,,,NA
Achilles:byAnalysis:RowCnt,108,NA,NA,1,NA,0,0,,"Number of persons by length of observation period, in 30d increments",Observation period length 30d increments,,,,NA
Achilles:byAnalysis:RowCnt,113,NA,NA,2,NA,0,0,,Number of persons by number of observation periods,number of observation periods,,,,NA
Achilles:byAnalysis:RowCnt,119,NA,NA,1,NA,0,0,,Number of observation period records by period_type_concept_id,period_type_concept_id,,,,NA
Achilles:byAnalysis:RowCnt,12,NA,NA,3,NA,0,0,,Number of persons by race and ethnicity,race_concept_id,ethnicity_concept_id,,,NA
Achilles:byAnalysis:RowCnt,1201,NA,NA,1,NA,0,0,,Number of visits by place of service,place_of_service_concept_id,,,,NA
Achilles:byAnalysis:RowCnt,1202,NA,NA,1,NA,0,0,,Number of care sites by place of service,place_of_service_concept_id,,,,NA
Achilles:byAnalysis:RowCnt,1800,NA,NA,294,NA,0,0,,"Number of persons with at least one measurement occurrence, by measurement_concept_id",measurement_concept_id,,,,NA
Achilles:byAnalysis:RowCnt,1801,NA,NA,331,NA,0,0,,"Number of measurement occurrence records, by measurement_concept_id",measurement_concept_id,,,,NA
Achilles:byAnalysis:RowCnt,1805,NA,NA,342,NA,0,0,,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",measurement_concept_id,measurement_type_concept_id,,,NA
Achilles:byAnalysis:RowCnt,1807,NA,NA,358,NA,0,0,,"Number of measurement occurrence records, by measurement_concept_id and unit_concept_id",measurement_concept_id,unit_concept_id,,,NA
Achilles:byAnalysis:RowCnt,1810,NA,NA,1,NA,0,0,,Number of measurement records outside valid observation period,,,,,NA
