"package","version"
"R","3.4.1"
"grDevices","3.4.1"
"graphics","3.4.1"
"utils","3.4.1"
"stats","3.4.1"
"methods","3.4.1"
"tools","3.4.1"
"bit","1.1-12"
"colorspace","1.3-2"
"glue","1.1.1"
"grid","3.4.1"
"magrittr","1.5"
"R.methodsS3","1.7.1"
"Rcpp","0.12.16"
"stringi","1.1.7"
"curl","3.0"
"dichromat","2.0-0"
"digest","0.6.15"
"fastmatch","1.1-0"
"ff","2.2-13"
"jsonlite","1.5"
"labeling","0.3"
"lattice","0.20-35"
"mime","0.5"
"munsell","0.4.3"
"openssl","0.9.8"
"plyr","1.8.4"
"R.oo","1.21.0"
"R6","2.2.2"
"RColorBrewer","1.1-2"
"rJava","0.9-9"
"rlang","0.2.0.9001"
"stringr","1.3.0"
"triebeard","0.3.0"
"viridisLite","0.2.0"
"DatabaseConnectorJars","1.0.0"
"DBI","0.8"
"ffbase","0.12.3"
"git2r","0.19.0"
"gtable","0.2.0"
"httr","1.3.1"
"lazyeval","0.2.0"
"MASS","7.3-47"
"Matrix","1.2-11"
"memoise","1.1.0"
"R.utils","2.5.0"
"reshape2","1.4.2"
"rstudioapi","0.7"
"scales","0.5.0"
"splines","3.4.1"
"SqlRender","1.4.9"
"tibble","1.3.4"
"urltools","1.7.0"
"whisker","0.3-2"
"withr","2.1.2"
"backports","1.1.1"
"codetools","0.2-15"
"DatabaseConnector","2.1.0"
"devtools","1.13.5"
"evaluate","0.10.1"
"formatR","1.5"
"ggplot2","2.2.1"
"highr","0.6"
"mailR","0.4.1"
"markdown","0.8"
"RcppParallel","4.4.0"
"RJSONIO","1.3-0"
"snow","0.4-2"
"survival","2.41-3"
"XML","3.98-1.9"
"yaml","2.1.16"
"base64enc","0.1-3"
"Cyclops","1.2.4"
"FeatureExtraction","2.1.1"
"gridExtra","2.3"
"htmltools","0.3.6"
"knitr","1.17"
"OhdsiRTools","1.5.3"
"pROC","1.10.0"
"RJDBC","0.2-7"
"rprojroot","1.3-2"
"CohortMethod","2.6.0"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.2.1"
"rmarkdown","1.8"
"SkeletonCompartiveEffectStudy","0.0.3"
